Time,Counter,Temp,Humidity,Wind,Fountain,Water temp,Iceindex,Dishcharge,site_name
2024-11-04 10:17,0,8.6,22.2,3.16,76.77,0.0,,,Ayee
2024-11-04 10:22,1,8.6,22.0,2.61,75.77,0.0,,,Ayee
2024-11-04 10:27,1,8.7,21.8,2.61,72.69,0.0,,,Ayee
2024-11-04 10:32,2,9.1,22.2,1.76,93.59,0.0,,,Ayee
2024-11-04 10:37,2,9.1,23.7,1.72,76.52,0.0,,,Ayee
2024-11-04 10:42,3,8.7,21.8,2.51,69.61,0.0,,,Ayee
2024-11-04 10:47,3,9.2,23.0,2.64,73.93,0.0,,,Ayee
2024-11-04 10:50,0,8.8,22.3,3.53,74.1,0.0,,,Ayee
2024-11-04 10:55,1,9.1,22.0,4.56,74.65,0.0,,,Ayee
2024-11-04 11:00,1,9.1,21.8,2.57,72.46,0.0,,,Ayee
2024-11-04 11:05,1,9.3,21.6,2.31,71.38,0.0,,,Ayee
2024-11-04 11:10,1,9.3,21.0,1.88,72.67,0.0,,,Ayee
2024-11-04 11:15,1,9.7,20.7,4.64,71.65,0.0,,,Ayee
2024-11-04 11:20,1,9.5,20.8,2.36,72.99,0.0,,,Ayee
2024-11-04 11:25,1,10.0,20.3,2.07,75.75,0.0,,,Ayee
2024-11-04 11:30,1,9.7,20.9,2.53,72.88,0.0,,,Ayee
2024-11-04 11:35,1,10.1,20.1,2.31,70.17,0.0,,,Ayee
2024-11-04 11:41,0,10.1,20.6,4.25,77.2,0.0,,,Ayee
2024-11-04 11:46,1,9.9,20.2,1.8,71.95,0.0,,,Ayee
2024-11-04 11:50,0,10.0,19.9,0.37,75.79,0.0,,,Ayee
2024-11-04 11:53,0,10.4,19.1,1.17,75.16,0.0,,,Ayee
2024-11-04 11:54,0,10.5,19.9,0.97,76.73,0.0,,,Ayee
2024-11-04 11:59,1,10.5,19.2,1.11,71.1,0.0,,,Ayee
2024-11-04 12:04,1,10.7,19.3,1.79,74.07,0.0,,,Ayee
2024-11-04 12:09,2,10.9,19.3,0.48,95.95,0.0,,,Ayee
2024-11-04 12:14,2,11.1,18.6,0.09,76.09,0.0,,,Ayee
2024-11-04 12:16,0,11.1,20.2,1.8,70.59,0.0,,,Ayee
2024-11-04 12:21,1,10.6,20.1,1.04,75.99,0.0,,,Ayee
2024-11-04 12:26,1,10.5,19.8,1.36,74.1,0.0,,,Ayee
